"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Soler, Jorge","624585","2026","361","202",0.203,0.206,-0.002999999999999975,0.373,0.362,0.01100000000000001,0.294,0.294,0
"Johnston, Troy","687859","2026","360","263",0.279,0.275,0.0040000000000000036,0.386,0.374,0.01200000000000001,0.324,0.319,0.0050000000000000044
"Vargas, Ildemaro","545121","2026","360","300",0.272,0.286,-0.013999999999999957,0.41,0.388,0.021999999999999964,0.317,0.316,0.0010000000000000009
"Raleigh, Cal","663728","2026","359","198",0.161,0.179,-0.017999999999999988,0.303,0.373,-0.07,0.26,0.295,-0.034999999999999976
"Taveras, Leody","665750","2026","359","233",0.224,0.216,0.008000000000000007,0.351,0.329,0.021999999999999964,0.292,0.283,0.009000000000000008
"Murakami, Munetaka","808959","2026","359","175",0.237,0.218,0.01899999999999999,0.539,0.505,0.03400000000000003,0.385,0.365,0.020000000000000018
"Soto, Juan","665742","2026","359","247",0.283,0.297,-0.014000000000000012,0.539,0.589,-0.04999999999999993,0.402,0.422,-0.019999999999999962
"Young, Jacob","696285","2026","356","263",0.241,0.26,-0.019000000000000017,0.392,0.388,0.0040000000000000036,0.309,0.318,-0.009000000000000008
"Yelich, Christian","592885","2026","356","220",0.232,0.221,0.01100000000000001,0.369,0.37,-0.0010000000000000009,0.302,0.3,0.0020000000000000018
"Manzardo, Kyle","700932","2026","356","200",0.215,0.219,-0.0040000000000000036,0.378,0.379,-0.0010000000000000009,0.305,0.306,-0.0010000000000000009
"Pederson, Joc","592626","2026","355","230",0.249,0.254,-0.0050000000000000044,0.502,0.456,0.045999999999999985,0.36,0.35,0.010000000000000009
"Caballero, José","676609","2026","353","242",0.242,0.23,0.011999999999999983,0.391,0.341,0.04999999999999999,0.302,0.278,0.023999999999999966
"Larnach, Trevor","663616","2026","352","246",0.276,0.256,0.020000000000000018,0.442,0.401,0.04099999999999998,0.355,0.332,0.022999999999999965
"McNeil, Jeff","643446","2026","352","280",0.251,0.269,-0.018000000000000016,0.329,0.352,-0.022999999999999965,0.286,0.302,-0.016000000000000014
"Chapman, Matt","656305","2026","352","229",0.235,0.21,0.024999999999999994,0.368,0.319,0.04899999999999999,0.308,0.286,0.02200000000000002
"Butler, Lawrence","671732","2026","352","220",0.201,0.234,-0.033,0.318,0.357,-0.03899999999999998,0.278,0.306,-0.02799999999999997
"Benintendi, Andrew","643217","2026","351","237",0.247,0.246,0.0010000000000000009,0.43,0.414,0.016000000000000014,0.32,0.315,0.0050000000000000044
"Mangum, Jake","663968","2026","349","258",0.303,0.257,0.045999999999999985,0.391,0.34,0.05099999999999999,0.331,0.292,0.039000000000000035
"Crawford, Justin","702222","2026","348","259",0.266,0.256,0.010000000000000009,0.354,0.318,0.035999999999999976,0.298,0.282,0.016000000000000014
"Peters, Tristan","671976","2026","346","253",0.265,0.245,0.020000000000000018,0.413,0.365,0.04799999999999999,0.325,0.3,0.025000000000000022
"Canzone, Dominic","686527","2026","344","238",0.251,0.272,-0.02100000000000002,0.489,0.502,-0.013000000000000012,0.349,0.363,-0.014000000000000012
"McLain, Matt","680574","2026","344","207",0.195,0.23,-0.035,0.346,0.392,-0.04600000000000004,0.289,0.319,-0.030000000000000027
"Lewis, Royce","668904","2026","343","222",0.235,0.235,0,0.425,0.417,0.008000000000000007,0.319,0.318,0.0010000000000000009
"Suárez, Eugenio","553993","2026","342","182",0.203,0.189,0.014000000000000012,0.402,0.339,0.063,0.3,0.272,0.02799999999999997
"Betts, Mookie","605141","2026","342","276",0.229,0.273,-0.04400000000000001,0.387,0.426,-0.03899999999999998,0.294,0.326,-0.03200000000000003
"Keith, Colt","690993","2026","339","250",0.269,0.274,-0.0050000000000000044,0.417,0.43,-0.013000000000000012,0.323,0.331,-0.008000000000000007
"Thomas, Lane","657041","2026","338","214",0.228,0.241,-0.012999999999999984,0.388,0.369,0.019000000000000017,0.316,0.314,0.0020000000000000018
"Pasquantino, Vinnie","686469","2026","336","237",0.232,0.246,-0.013999999999999985,0.345,0.387,-0.04200000000000004,0.295,0.315,-0.020000000000000018
"Carter, Evan","694497","2026","332","208",0.194,0.202,-0.008000000000000007,0.327,0.328,-0.0010000000000000009,0.29,0.293,-0.0030000000000000027
"Realmuto, J.T.","592663","2026","329","228",0.225,0.26,-0.035,0.355,0.393,-0.038000000000000034,0.293,0.323,-0.030000000000000027
"Mead, Curtis","678554","2026","329","222",0.253,0.259,-0.006000000000000005,0.498,0.457,0.04099999999999998,0.369,0.358,0.01100000000000001
"Church, Nathan","701675","2026","329","242",0.238,0.244,-0.006000000000000005,0.363,0.369,-0.006000000000000005,0.284,0.291,-0.007000000000000006
"Goldschmidt, Paul","502671","2026","328","222",0.247,0.231,0.015999999999999986,0.45,0.405,0.044999999999999984,0.328,0.305,0.02300000000000002
"Walls, Taylor","670764","2026","328","206",0.211,0.185,0.025999999999999995,0.276,0.249,0.027000000000000024,0.268,0.247,0.02100000000000002
"Ramos, Heliot","671218","2026","327","217",0.256,0.261,-0.0050000000000000044,0.413,0.447,-0.03400000000000003,0.311,0.326,-0.015000000000000013
"France, Ty","664034","2026","326","224",0.287,0.254,0.032999999999999974,0.515,0.444,0.07100000000000001,0.366,0.331,0.034999999999999976
"Martin, Austin","668885","2026","325","217",0.232,0.237,-0.004999999999999977,0.309,0.316,-0.007000000000000006,0.305,0.309,-0.0040000000000000036
"Hernández, Teoscar","606192","2026","325","208",0.249,0.239,0.010000000000000009,0.403,0.407,-0.003999999999999948,0.314,0.313,0.0010000000000000009
"Wilson, Jacob","805779","2026","324","272",0.269,0.266,0.0030000000000000027,0.393,0.351,0.04200000000000004,0.303,0.286,0.017000000000000015
"Massey, Michael","686681","2026","324","255",0.262,0.241,0.02100000000000002,0.425,0.395,0.02999999999999997,0.31,0.295,0.015000000000000013
"McKinstry, Zach","656716","2026","322","239",0.223,0.241,-0.017999999999999988,0.332,0.327,0.0050000000000000044,0.285,0.292,-0.007000000000000006
"Horwitz, Spencer","687462","2026","321","227",0.269,0.231,0.038000000000000006,0.433,0.378,0.05499999999999999,0.359,0.332,0.02699999999999997
